"","Id","SleepDay","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed"
"1",1503960366,2016-04-12,1,327,346
"2",1503960366,2016-04-13,2,384,407
"3",1503960366,2016-04-15,1,412,442
"4",1503960366,2016-04-16,2,340,367
"5",1503960366,2016-04-17,1,700,712
"6",1503960366,2016-04-19,1,304,320
"7",1503960366,2016-04-20,1,360,377
"8",1503960366,2016-04-21,1,325,364
"9",1503960366,2016-04-23,1,361,384
"10",1503960366,2016-04-24,1,430,449
"11",1503960366,2016-04-25,1,277,323
"12",1503960366,2016-04-26,1,245,274
"13",1503960366,2016-04-28,1,366,393
"14",1503960366,2016-04-29,1,341,354
"15",1503960366,2016-04-30,1,404,425
"16",1503960366,2016-05-01,1,369,396
"17",1503960366,2016-05-02,1,277,309
"18",1503960366,2016-05-03,1,273,296
"19",1503960366,2016-05-05,1,247,264
"20",1503960366,2016-05-06,1,334,367
"21",1503960366,2016-05-07,1,331,349
"22",1503960366,2016-05-08,1,594,611
"23",1503960366,2016-05-09,1,338,342
"24",1503960366,2016-05-10,1,383,403
"25",1503960366,2016-05-11,1,285,306
"26",1644430081,2016-04-29,1,119,127
"27",1644430081,2016-04-30,1,124,142
"28",1644430081,2016-05-02,1,796,961
"29",1644430081,2016-05-08,1,137,154
"30",1844505072,2016-04-15,1,644,961
"31",1844505072,2016-04-30,1,722,961
"32",1844505072,2016-05-01,1,590,961
"33",1927972279,2016-04-12,3,750,775
"34",1927972279,2016-04-13,1,398,422
"35",1927972279,2016-04-15,2,475,499
"36",1927972279,2016-04-26,1,296,315
"37",1927972279,2016-04-28,1,166,178
"38",2026352035,2016-04-12,1,503,546
"39",2026352035,2016-04-13,1,531,565
"40",2026352035,2016-04-14,1,545,568
"41",2026352035,2016-04-15,1,523,573
"42",2026352035,2016-04-16,1,524,567
"43",2026352035,2016-04-17,1,437,498
"44",2026352035,2016-04-19,1,498,540
"45",2026352035,2016-04-20,1,461,510
"46",2026352035,2016-04-21,1,477,514
"47",2026352035,2016-04-22,1,520,545
"48",2026352035,2016-04-23,1,522,554
"49",2026352035,2016-04-24,1,555,591
"50",2026352035,2016-04-25,1,506,531
"51",2026352035,2016-04-27,1,508,545
"52",2026352035,2016-04-28,1,513,545
"53",2026352035,2016-04-29,1,490,510
"54",2026352035,2016-04-30,1,573,607
"55",2026352035,2016-05-01,1,527,546
"56",2026352035,2016-05-02,1,511,543
"57",2026352035,2016-05-04,1,538,560
"58",2026352035,2016-05-05,1,468,485
"59",2026352035,2016-05-06,1,524,548
"60",2026352035,2016-05-07,1,511,521
"61",2026352035,2016-05-08,1,541,568
"62",2026352035,2016-05-09,1,531,556
"63",2026352035,2016-05-10,1,357,380
"64",2026352035,2016-05-11,1,523,553
"65",2026352035,2016-05-12,1,456,485
"66",2320127002,2016-04-23,1,61,69
"67",2347167796,2016-04-13,1,467,531
"68",2347167796,2016-04-14,1,445,489
"69",2347167796,2016-04-15,1,452,504
"70",2347167796,2016-04-17,1,556,602
"71",2347167796,2016-04-18,1,500,557
"72",2347167796,2016-04-19,1,465,514
"73",2347167796,2016-04-21,1,460,484
"74",2347167796,2016-04-22,1,405,461
"75",2347167796,2016-04-23,1,374,386
"76",2347167796,2016-04-24,1,442,459
"77",2347167796,2016-04-25,1,433,471
"78",2347167796,2016-04-26,1,436,490
"79",2347167796,2016-04-27,1,448,499
"80",2347167796,2016-04-28,1,408,450
"81",2347167796,2016-04-29,1,411,473
"82",3977333714,2016-04-12,1,274,469
"83",3977333714,2016-04-13,2,295,456
"84",3977333714,2016-04-14,1,291,397
"85",3977333714,2016-04-15,1,424,556
"86",3977333714,2016-04-16,1,283,510
"87",3977333714,2016-04-17,1,381,566
"88",3977333714,2016-04-18,2,412,522
"89",3977333714,2016-04-19,1,219,395
"90",3977333714,2016-04-20,2,152,305
"91",3977333714,2016-04-21,1,332,512
"92",3977333714,2016-04-22,1,355,476
"93",3977333714,2016-04-23,1,235,372
"94",3977333714,2016-04-24,1,310,526
"95",3977333714,2016-04-25,1,262,467
"96",3977333714,2016-04-26,1,250,371
"97",3977333714,2016-04-27,1,349,540
"98",3977333714,2016-04-28,1,261,423
"99",3977333714,2016-04-29,1,333,478
"100",3977333714,2016-04-30,1,237,382
"101",3977333714,2016-05-01,1,383,626
"102",3977333714,2016-05-02,1,230,384
"103",3977333714,2016-05-03,1,292,500
"104",3977333714,2016-05-04,1,213,336
"105",3977333714,2016-05-05,1,318,480
"106",3977333714,2016-05-06,1,323,512
"107",3977333714,2016-05-07,1,237,443
"108",3977333714,2016-05-08,2,259,456
"109",3977333714,2016-05-10,1,312,452
"110",4020332650,2016-04-12,1,501,541
"111",4020332650,2016-04-16,1,77,77
"112",4020332650,2016-05-03,1,322,332
"113",4020332650,2016-05-04,1,478,536
"114",4020332650,2016-05-05,1,226,248
"115",4020332650,2016-05-06,1,385,408
"116",4020332650,2016-05-08,1,364,402
"117",4020332650,2016-05-10,1,442,494
"118",4319703577,2016-04-14,1,535,557
"119",4319703577,2016-04-15,1,465,491
"120",4319703577,2016-04-16,1,506,522
"121",4319703577,2016-04-18,1,515,551
"122",4319703577,2016-04-19,2,461,498
"123",4319703577,2016-04-20,1,523,543
"124",4319703577,2016-04-21,1,59,65
"125",4319703577,2016-04-22,1,533,550
"126",4319703577,2016-04-23,1,692,722
"127",4319703577,2016-04-24,1,467,501
"128",4319703577,2016-04-25,1,488,506
"129",4319703577,2016-04-26,1,505,516
"130",4319703577,2016-04-27,1,286,307
"131",4319703577,2016-04-28,1,497,522
"132",4319703577,2016-04-29,1,523,546
"133",4319703577,2016-04-30,1,490,516
"134",4319703577,2016-05-01,1,484,500
"135",4319703577,2016-05-02,1,478,506
"136",4319703577,2016-05-03,1,474,512
"137",4319703577,2016-05-06,1,450,491
"138",4319703577,2016-05-07,1,507,530
"139",4319703577,2016-05-08,1,602,638
"140",4319703577,2016-05-09,1,535,565
"141",4319703577,2016-05-10,1,487,517
"142",4319703577,2016-05-11,1,529,558
"143",4319703577,2016-05-12,1,302,321
"144",4388161847,2016-04-15,1,499,526
"145",4388161847,2016-04-16,2,426,448
"146",4388161847,2016-04-17,2,619,641
"147",4388161847,2016-04-18,1,99,104
"148",4388161847,2016-04-19,1,329,338
"149",4388161847,2016-04-20,1,421,451
"150",4388161847,2016-04-21,1,442,458
"151",4388161847,2016-04-22,1,82,85
"152",4388161847,2016-04-23,1,478,501
"153",4388161847,2016-04-24,3,552,595
"154",4388161847,2016-04-26,1,319,346
"155",4388161847,2016-04-27,1,439,500
"156",4388161847,2016-04-28,1,428,458
"157",4388161847,2016-04-30,2,409,430
"158",4388161847,2016-05-01,1,547,597
"159",4388161847,2016-05-02,2,368,376
"160",4388161847,2016-05-04,1,390,414
"161",4388161847,2016-05-05,1,471,495
"162",4388161847,2016-05-07,1,472,496
"163",4388161847,2016-05-08,2,529,541
"164",4388161847,2016-05-09,1,62,65
"165",4388161847,2016-05-10,1,354,375
"166",4388161847,2016-05-11,1,469,494
"167",4445114986,2016-04-12,2,429,457
"168",4445114986,2016-04-13,2,370,406
"169",4445114986,2016-04-14,1,441,492
"170",4445114986,2016-04-15,2,337,379
"171",4445114986,2016-04-16,1,462,499
"172",4445114986,2016-04-17,1,98,107
"173",4445114986,2016-04-19,2,388,424
"174",4445114986,2016-04-20,1,439,462
"175",4445114986,2016-04-21,1,436,469
"176",4445114986,2016-04-22,1,388,417
"177",4445114986,2016-04-25,1,328,345
"178",4445114986,2016-04-26,2,353,391
"179",4445114986,2016-04-27,1,332,374
"180",4445114986,2016-04-28,1,419,442
"181",4445114986,2016-04-29,1,106,108
"182",4445114986,2016-04-30,1,322,353
"183",4445114986,2016-05-01,2,439,459
"184",4445114986,2016-05-02,1,502,542
"185",4445114986,2016-05-03,2,417,450
"186",4445114986,2016-05-04,2,337,363
"187",4445114986,2016-05-05,2,462,513
"188",4445114986,2016-05-06,2,374,402
"189",4445114986,2016-05-07,2,401,436
"190",4445114986,2016-05-08,1,361,391
"191",4445114986,2016-05-09,1,457,533
"192",4445114986,2016-05-10,1,405,426
"193",4445114986,2016-05-11,1,499,530
"194",4445114986,2016-05-12,1,483,501
"195",4558609924,2016-04-21,1,126,137
"196",4558609924,2016-04-26,1,103,121
"197",4558609924,2016-04-29,1,171,179
"198",4558609924,2016-05-01,1,115,129
"199",4558609924,2016-05-08,1,123,134
"200",4702921684,2016-04-12,1,425,439
"201",4702921684,2016-04-13,2,400,430
"202",4702921684,2016-04-14,1,384,415
"203",4702921684,2016-04-15,1,253,257
"204",4702921684,2016-04-16,2,382,406
"205",4702921684,2016-04-17,1,591,612
"206",4702921684,2016-04-18,1,293,312
"207",4702921684,2016-04-19,1,457,487
"208",4702921684,2016-04-20,1,454,468
"209",4702921684,2016-04-21,1,425,434
"210",4702921684,2016-04-23,1,465,475
"211",4702921684,2016-04-24,1,480,506
"212",4702921684,2016-04-25,1,370,380
"213",4702921684,2016-04-26,1,421,429
"214",4702921684,2016-04-27,1,432,449
"215",4702921684,2016-04-28,1,442,461
"216",4702921684,2016-04-29,1,433,447
"217",4702921684,2016-04-30,1,479,501
"218",4702921684,2016-05-03,1,327,373
"219",4702921684,2016-05-04,1,412,434
"220",4702921684,2016-05-05,1,414,428
"221",4702921684,2016-05-06,1,404,449
"222",4702921684,2016-05-07,1,520,543
"223",4702921684,2016-05-09,1,435,458
"224",4702921684,2016-05-10,1,416,431
"225",4702921684,2016-05-11,1,354,366
"226",4702921684,2016-05-12,1,404,442
"227",5553957443,2016-04-12,1,441,464
"228",5553957443,2016-04-13,2,455,488
"229",5553957443,2016-04-14,1,357,418
"230",5553957443,2016-04-15,1,377,409
"231",5553957443,2016-04-16,2,651,686
"232",5553957443,2016-04-17,1,350,402
"233",5553957443,2016-04-18,2,520,541
"234",5553957443,2016-04-19,1,357,410
"235",5553957443,2016-04-20,1,658,678
"236",5553957443,2016-04-21,1,399,431
"237",5553957443,2016-04-22,1,322,353
"238",5553957443,2016-04-23,2,631,725
"239",5553957443,2016-04-24,2,553,640
"240",5553957443,2016-04-25,1,433,468
"241",5553957443,2016-04-26,1,412,453
"242",5553957443,2016-04-27,1,347,391
"243",5553957443,2016-04-28,1,421,457
"244",5553957443,2016-04-29,1,450,495
"245",5553957443,2016-04-30,2,775,843
"246",5553957443,2016-05-01,2,622,686
"247",5553957443,2016-05-02,1,409,471
"248",5553957443,2016-05-03,1,380,429
"249",5553957443,2016-05-04,1,447,470
"250",5553957443,2016-05-05,1,419,464
"251",5553957443,2016-05-06,1,400,434
"252",5553957443,2016-05-07,1,442,470
"253",5553957443,2016-05-08,1,568,608
"254",5553957443,2016-05-09,1,453,494
"255",5553957443,2016-05-10,1,418,443
"256",5553957443,2016-05-11,1,463,486
"257",5553957443,2016-05-12,1,438,475
"258",5577150313,2016-04-12,1,419,438
"259",5577150313,2016-04-13,1,432,458
"260",5577150313,2016-04-14,1,477,497
"261",5577150313,2016-04-15,1,392,413
"262",5577150313,2016-04-16,1,406,445
"263",5577150313,2016-04-17,1,549,583
"264",5577150313,2016-04-18,1,527,553
"265",5577150313,2016-04-19,1,449,465
"266",5577150313,2016-04-20,1,447,480
"267",5577150313,2016-04-21,1,414,437
"268",5577150313,2016-04-22,1,338,366
"269",5577150313,2016-04-23,1,384,402
"270",5577150313,2016-04-24,1,543,615
"271",5577150313,2016-04-25,1,421,461
"272",5577150313,2016-04-26,1,354,377
"273",5577150313,2016-04-27,1,424,452
"274",5577150313,2016-04-28,1,361,372
"275",5577150313,2016-04-29,1,459,485
"276",5577150313,2016-04-30,1,412,433
"277",5577150313,2016-05-01,1,379,398
"278",5577150313,2016-05-02,2,525,553
"279",5577150313,2016-05-03,1,508,543
"280",5577150313,2016-05-04,1,603,634
"281",5577150313,2016-05-05,1,74,78
"282",5577150313,2016-05-10,1,504,562
"283",5577150313,2016-05-11,1,431,476
"284",6117666160,2016-04-16,1,380,398
"285",6117666160,2016-04-17,2,336,350
"286",6117666160,2016-04-18,2,493,510
"287",6117666160,2016-04-19,1,465,492
"288",6117666160,2016-04-20,1,474,502
"289",6117666160,2016-04-21,1,508,550
"290",6117666160,2016-04-22,1,480,546
"291",6117666160,2016-04-23,1,492,539
"292",6117666160,2016-04-24,1,353,367
"293",6117666160,2016-04-27,1,542,557
"294",6117666160,2016-04-28,1,393,416
"295",6117666160,2016-04-29,1,600,636
"296",6117666160,2016-05-01,1,507,575
"297",6117666160,2016-05-05,1,392,415
"298",6117666160,2016-05-06,2,658,698
"299",6117666160,2016-05-07,2,498,507
"300",6117666160,2016-05-08,1,555,603
"301",6117666160,2016-05-09,1,492,522
"302",6775888955,2016-04-13,1,235,260
"303",6775888955,2016-04-14,1,423,441
"304",6775888955,2016-04-15,1,391,406
"305",6962181067,2016-04-12,1,366,387
"306",6962181067,2016-04-13,3,630,679
"307",6962181067,2016-04-14,2,508,535
"308",6962181067,2016-04-15,1,370,386
"309",6962181067,2016-04-16,1,357,366
"310",6962181067,2016-04-17,1,427,446
"311",6962181067,2016-04-18,1,442,458
"312",6962181067,2016-04-19,1,476,535
"313",6962181067,2016-04-20,1,418,424
"314",6962181067,2016-04-21,1,451,457
"315",6962181067,2016-04-22,1,425,435
"316",6962181067,2016-04-23,1,528,546
"317",6962181067,2016-04-24,1,511,514
"318",6962181067,2016-04-25,1,400,415
"319",6962181067,2016-04-26,1,441,446
"320",6962181067,2016-04-27,1,455,467
"321",6962181067,2016-04-28,1,440,453
"322",6962181067,2016-04-29,1,433,447
"323",6962181067,2016-04-30,1,422,424
"324",6962181067,2016-05-01,1,411,426
"325",6962181067,2016-05-02,1,466,482
"326",6962181067,2016-05-03,1,394,418
"327",6962181067,2016-05-04,1,442,455
"328",6962181067,2016-05-05,1,467,491
"329",6962181067,2016-05-06,1,443,462
"330",6962181067,2016-05-07,1,298,334
"331",6962181067,2016-05-08,1,541,569
"332",6962181067,2016-05-09,1,489,497
"333",6962181067,2016-05-10,1,469,481
"334",6962181067,2016-05-11,1,452,480
"335",6962181067,2016-05-12,1,516,535
"336",7007744171,2016-04-16,1,79,82
"337",7007744171,2016-05-01,1,58,61
"338",7086361926,2016-04-12,1,514,525
"339",7086361926,2016-04-13,1,451,465
"340",7086361926,2016-04-14,1,472,476
"341",7086361926,2016-04-15,1,377,386
"342",7086361926,2016-04-19,1,472,483
"343",7086361926,2016-04-20,1,492,502
"344",7086361926,2016-04-21,1,390,411
"345",7086361926,2016-04-22,1,428,448
"346",7086361926,2016-04-24,1,681,704
"347",7086361926,2016-04-25,1,446,447
"348",7086361926,2016-04-26,1,485,500
"349",7086361926,2016-04-27,1,469,479
"350",7086361926,2016-04-28,1,354,367
"351",7086361926,2016-04-30,1,485,489
"352",7086361926,2016-05-01,1,388,407
"353",7086361926,2016-05-02,1,440,459
"354",7086361926,2016-05-03,1,456,461
"355",7086361926,2016-05-04,1,420,436
"356",7086361926,2016-05-06,1,322,333
"357",7086361926,2016-05-07,1,530,548
"358",7086361926,2016-05-08,1,481,510
"359",7086361926,2016-05-09,1,427,438
"360",7086361926,2016-05-11,1,451,463
"361",7086361926,2016-05-12,1,444,457
"362",8053475328,2016-04-20,1,486,493
"363",8053475328,2016-04-23,1,331,337
"364",8053475328,2016-05-07,1,74,75
"365",8378563200,2016-04-12,1,338,356
"366",8378563200,2016-04-13,2,447,487
"367",8378563200,2016-04-14,1,424,455
"368",8378563200,2016-04-15,1,513,533
"369",8378563200,2016-04-16,2,611,689
"370",8378563200,2016-04-17,2,525,591
"371",8378563200,2016-04-18,1,398,451
"372",8378563200,2016-04-19,1,387,421
"373",8378563200,2016-04-20,1,381,409
"374",8378563200,2016-04-21,1,396,417
"375",8378563200,2016-04-22,1,441,469
"376",8378563200,2016-04-23,1,565,591
"377",8378563200,2016-04-24,1,458,492
"378",8378563200,2016-04-25,1,388,402
"379",8378563200,2016-04-26,1,550,584
"380",8378563200,2016-04-27,1,531,600
"381",8378563200,2016-04-28,1,506,556
"382",8378563200,2016-04-29,1,527,562
"383",8378563200,2016-04-30,1,468,555
"384",8378563200,2016-05-01,1,475,539
"385",8378563200,2016-05-02,1,351,385
"386",8378563200,2016-05-03,1,405,429
"387",8378563200,2016-05-04,1,441,477
"388",8378563200,2016-05-05,1,381,417
"389",8378563200,2016-05-06,1,323,355
"390",8378563200,2016-05-07,2,459,513
"391",8378563200,2016-05-08,1,545,606
"392",8378563200,2016-05-09,1,359,399
"393",8378563200,2016-05-10,1,342,391
"394",8378563200,2016-05-11,1,368,387
"395",8378563200,2016-05-12,1,496,546
"396",8792009665,2016-04-12,1,458,493
"397",8792009665,2016-04-13,1,531,552
"398",8792009665,2016-04-14,1,486,503
"399",8792009665,2016-04-15,1,363,377
"400",8792009665,2016-04-20,1,528,547
"401",8792009665,2016-04-22,1,391,407
"402",8792009665,2016-04-23,1,339,360
"403",8792009665,2016-04-27,1,423,428
"404",8792009665,2016-04-28,1,402,416
"405",8792009665,2016-04-29,1,398,406
"406",8792009665,2016-04-30,1,343,360
"407",8792009665,2016-05-01,1,503,527
"408",8792009665,2016-05-02,1,415,423
"409",8792009665,2016-05-03,1,516,545
"410",8792009665,2016-05-04,1,439,463
